name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
Worrall,DEF,Burnley,0.0,0,0,3,0,0.3,199,0.0,0.0,0.0,0.0,62,0,0,0.1,0.2,2025-10-05T13:00:00Z,1,2,0,0,0,0,7,0,0.2,0,0.0,1,-208,121,329,3.9,False,0,7
Anthony,MID,Burnley,0.0,0,0,2,0,2.1,200,0.0,0.0,0.0,0.0,62,1,0,1.2,5.6,2025-10-05T13:00:00Z,58,2,0,0,0,0,7,0,6.8,0,4.0,1,9500,24662,15162,5.7,False,0,7
Benson,MID,Burnley,0.0,0,0,0,0,0.0,201,0.0,0.0,0.0,0.0,62,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,2,0,0,0,0,7,0,0.0,0,0.0,0,-23,0,23,5.4,False,0,7
Bruun Larsen,MID,Burnley,0.0,0,0,0,0,0.5,202,0.0,0.0,0.0,0.0,62,1,0,0.1,0.4,2025-10-05T13:00:00Z,31,2,0,0,0,0,7,0,0.0,0,0.0,1,-3,47,50,5.3,False,0,7
Boateng,MID,Burnley,0.0,0,0,0,0,0.0,203,0.0,0.0,0.0,0.0,62,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,2,0,0,0,0,7,0,0.0,0,0.0,0,-31,15,46,4.8,False,0,7
Churlinov,MID,Burnley,0.0,0,0,0,0,0.0,204,0.0,0.0,0.0,0.0,62,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,2,0,0,0,0,7,0,0.0,0,0.0,0,-9,0,9,4.9,False,0,7
Cullen,MID,Burnley,0.0,0,2,29,0,6.7,205,0.0,0.0,0.0,0.0,62,2,0,3.5,21.6,2025-10-05T13:00:00Z,90,2,0,0,0,0,7,0,2.4,1,7.0,6,6644,9981,3337,5.0,False,0,7
Edwards,MID,Burnley,0.0,0,0,0,0,0.0,206,0.0,0.0,0.0,0.0,62,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,2,0,0,0,0,7,0,0.1,0,0.0,0,-71,24,95,4.8,False,0,7
Hannibal,MID,Burnley,0.0,0,0,0,0,0.0,207,0.0,0.0,0.0,0.0,62,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,2,0,0,0,0,7,0,0.1,0,0.0,0,-178,76,254,4.9,False,0,7
Koleosho,MID,Burnley,0.0,0,0,0,0,0.0,208,0.0,0.0,0.0,0.0,62,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,2,0,0,0,0,7,0,0.0,0,0.0,0,-6,0,6,5.0,False,0,7
Laurent,MID,Burnley,0.0,0,0,13,0,2.3,209,0.0,0.0,0.0,0.0,62,2,0,1.0,5.2,2025-10-05T13:00:00Z,81,2,0,0,0,0,7,0,0.0,1,2.0,2,-10,16,26,4.9,False,0,7
Tchaouna,MID,Burnley,0.0,0,0,3,0,2.4,210,0.0,0.0,0.0,0.0,62,1,0,0.2,0.0,2025-10-05T13:00:00Z,58,2,0,0,0,0,7,0,0.0,0,0.0,1,156,207,51,4.9,False,0,7
A.Ramsey,MID,Burnley,0.0,0,0,0,0,0.0,211,0.0,0.0,0.0,0.0,62,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,2,0,0,0,0,7,0,2.6,0,0.0,0,-4789,0,4789,4.4,False,0,7
Adewumi,MID,Burnley,0.0,0,0,0,0,0.0,212,0.0,0.0,0.0,0.0,62,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,2,0,0,0,0,7,0,0.0,0,0.0,0,-3,0,3,4.5,False,0,7
Banel,MID,Burnley,0.0,0,0,0,0,0.0,213,0.0,0.0,0.0,0.0,62,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,2,0,0,0,0,7,0,0.0,0,0.0,0,4,88,84,4.5,False,0,7
Trésor,MID,Burnley,0.0,0,0,0,0,0.0,214,0.0,0.0,0.0,0.0,62,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,2,0,0,0,0,7,0,0.1,0,0.0,0,-34,114,148,4.4,False,0,7
Flemming,FWD,Burnley,0.0,0,0,2,0,0.0,215,0.0,0.0,0.0,0.0,62,0,0,0.1,0.0,2025-10-05T13:00:00Z,8,2,0,0,0,0,7,0,0.1,0,2.0,1,15,217,202,5.3,False,0,7
Amdouni,FWD,Burnley,0.0,0,0,0,0,0.0,216,0.0,0.0,0.0,0.0,62,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,2,0,0,0,0,7,0,0.0,0,0.0,0,-4,22,26,4.9,False,0,7
Foster,FWD,Burnley,0.0,0,0,-2,0,1.3,217,0.0,0.0,0.0,0.0,62,2,0,0.1,0.0,2025-10-05T13:00:00Z,68,2,0,0,0,0,7,0,2.1,1,4.0,1,-13132,1194,14326,5.0,False,1,7
Barnes,FWD,Burnley,0.0,0,0,0,0,0.0,218,0.0,0.0,0.0,0.0,62,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,2,0,0,0,0,7,0,1.4,0,0.0,0,-1620,1231,2851,4.4,False,0,7
Obafemi,FWD,Burnley,0.0,0,0,0,0,0.0,219,0.0,0.0,0.0,0.0,62,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,2,0,0,0,0,7,0,0.2,0,0.0,0,-313,0,313,4.4,False,0,7
Sánchez,GKP,Chelsea,0.0,0,0,8,0,0.0,220,0.0,0.0,0.0,0.0,65,1,0,0.9,9.4,2025-10-04T16:30:00Z,90,12,0,0,0,0,7,1,14.3,1,0.0,2,3056,10250,7194,4.9,True,0,7
Jörgensen,GKP,Chelsea,0.0,0,0,0,0,0.0,221,0.0,0.0,0.0,0.0,65,0,0,0.0,0.0,2025-10-04T16:30:00Z,0,12,0,0,0,0,7,0,0.2,0,0.0,0,-217,59,276,4.4,True,0,7
Penders,GKP,Chelsea,0.0,0,0,0,0,0.0,222,0.0,0.0,0.0,0.0,65,0,0,0.0,0.0,2025-10-04T16:30:00Z,0,12,0,0,0,0,7,0,0.0,0,0.0,0,-1,0,1,4.0,True,0,7
Slonina,GKP,Chelsea,0.0,0,0,0,0,0.0,223,0.0,0.0,0.0,0.0,65,0,0,0.0,0.0,2025-10-04T16:30:00Z,0,12,0,0,0,0,7,0,0.1,0,0.0,0,148,246,98,3.9,True,0,7
Cucurella,DEF,Chelsea,0.0,1,2,33,0,38.4,224,0.0,0.0,0.0,0.0,65,1,0,8.2,38.0,2025-10-04T16:30:00Z,90,12,0,0,0,0,7,0,22.1,1,6.0,7,18228,25384,7156,6.1,True,0,7
James,DEF,Chelsea,0.0,0,0,16,0,23.2,225,0.0,0.0,0.0,0.0,65,1,0,4.9,25.8,2025-10-04T16:30:00Z,90,12,0,0,0,0,7,0,4.8,1,0.0,4,67094,68376,1282,5.4,True,0,7
Chalobah,DEF,Chelsea,0.0,0,0,0,0,0.0,226,0.0,0.0,0.0,0.0,65,0,0,0.0,0.0,2025-10-04T16:30:00Z,0,12,0,0,0,0,7,0,7.7,0,0.0,0,10425,14925,4500,5.1,True,0,7
Colwill,DEF,Chelsea,0.0,0,0,0,0,0.0,227,0.0,0.0,0.0,0.0,65,0,0,0.0,0.0,2025-10-04T16:30:00Z,0,12,0,0,0,0,7,0,0.1,0,0.0,0,-69,12,81,4.8,True,0,7
Gusto,DEF,Chelsea,0.0,1,0,18,0,14.8,228,0.0,0.0,0.0,0.0,65,1,0,4.3,25.0,2025-10-04T16:30:00Z,90,12,0,0,0,0,7,0,1.2,1,3.0,5,-5647,369,6016,4.9,True,0,7
B.Badiashile,DEF,Chelsea,0.0,0,0,11,0,1.4,229,0.0,0.0,0.0,0.0,65,0,0,1.6,14.6,2025-10-04T16:30:00Z,54,12,0,0,0,0,7,0,0.0,0,0.0,1,-226,6,232,4.4,True,0,7
Fofana,DEF,Chelsea,0.0,0,0,0,0,0.0,230,0.0,0.0,0.0,0.0,65,0,0,0.0,0.0,2025-10-04T16:30:00Z,0,12,0,0,0,0,7,0,0.2,0,0.0,0,-40,141,181,4.4,True,0,7
M.Sarr,DEF,Chelsea,0.0,0,0,0,0,0.0,231,0.0,0.0,0.0,0.0,65,0,0,0.0,0.0,2025-10-04T16:30:00Z,0,12,0,0,0,0,7,0,0.0,0,0.0,0,-4,0,4,4.5,True,0,7
Tosin,DEF,Chelsea,0.0,0,0,0,0,0.0,232,0.0,0.0,0.0,0.0,65,0,0,0.0,0.0,2025-10-04T16:30:00Z,0,12,0,0,0,0,7,0,0.5,0,0.0,0,-784,269,1053,4.4,True,0,7
Acheampong,DEF,Chelsea,0.0,0,0,5,0,0.6,233,0.0,0.0,0.0,0.0,65,1,0,0.2,1.6,2025-10-04T16:30:00Z,67,12,0,0,0,0,7,0,1.4,1,0.0,2,16479,17327,848,3.9,True,0,7
Anselmino,DEF,Chelsea,0.0,0,0,0,0,0.0,234,0.0,0.0,0.0,0.0,65,0,0,0.0,0.0,2025-10-04T16:30:00Z,0,12,0,0,0,0,7,0,0.1,0,0.0,0,-53,0,53,4.0,True,0,7
Palmer,MID,Chelsea,0.0,0,0,0,0,0.0,235,0.0,0.0,0.0,0.0,65,0,0,0.0,0.0,2025-10-04T16:30:00Z,0,12,0,0,0,0,7,0,10.4,0,0.0,0,-29599,313,29912,10.3,True,0,7
